index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
612,2013,Jan,152028,-,274.9,-,-,BUKIT MERAH,1.2769,103.829,KAMPONG TIONG BAHRU,CENTRAL
665,2013,Jan,160104,226.1,-,-,-,BUKIT MERAH,1.2814,103.8246,KAMPONG TIONG BAHRU,CENTRAL
666,2013,Jan,160105,132.3,-,-,-,BUKIT MERAH,1.2805,103.8249,KAMPONG TIONG BAHRU,CENTRAL
667,2013,Jan,160106,131.5,-,-,-,BUKIT MERAH,1.28,103.8245,KAMPONG TIONG BAHRU,CENTRAL
668,2013,Jan,160108,-,298.4,-,-,BUKIT MERAH,1.2793,103.8256,KAMPONG TIONG BAHRU,CENTRAL
669,2013,Jan,160109,-,-,387.1,-,BUKIT MERAH,1.2796,103.8262,KAMPONG TIONG BAHRU,CENTRAL
670,2013,Jan,160110,179.3,213.2,-,-,BUKIT MERAH,1.2798,103.8266,KAMPONG TIONG BAHRU,CENTRAL
671,2013,Jan,160113,-,308.8,-,-,BUKIT MERAH,1.2803,103.8256,KAMPONG TIONG BAHRU,CENTRAL
684,2013,Jan,160133,-,265.8,-,-,BUKIT MERAH,1.2795,103.8273,KAMPONG TIONG BAHRU,CENTRAL
685,2013,Jan,160134,-,-,341.8,431.9,BUKIT MERAH,1.279,103.8275,KAMPONG TIONG BAHRU,CENTRAL
686,2013,Jan,160135,-,-,365.0,403.8,BUKIT MERAH,1.2786,103.8268,KAMPONG TIONG BAHRU,CENTRAL
687,2013,Jan,160139,-,-,355.8,359.8,BUKIT MERAH,1.2788,103.8266,KAMPONG TIONG BAHRU,CENTRAL
688,2013,Jan,160140,-,-,-,356.0,BUKIT MERAH,1.278,103.8294,KAMPONG TIONG BAHRU,CENTRAL
689,2013,Jan,160141,-,253.2,245.3,416.2,BUKIT MERAH,1.2772,103.8282,KAMPONG TIONG BAHRU,CENTRAL
690,2013,Jan,160142,-,283.4,383.0,-,BUKIT MERAH,1.2772,103.8281,KAMPONG TIONG BAHRU,CENTRAL
691,2013,Jan,160143,-,-,-,364.9,BUKIT MERAH,1.2779,103.8298,KAMPONG TIONG BAHRU,CENTRAL
692,2013,Jan,160144,-,270.6,344.6,-,BUKIT MERAH,1.2772,103.8298,KAMPONG TIONG BAHRU,CENTRAL
693,2013,Jan,160145,-,275.8,-,-,BUKIT MERAH,1.2773,103.8306,KAMPONG TIONG BAHRU,CENTRAL
694,2013,Jan,160146,-,263.6,455.0,427.3,BUKIT MERAH,1.2777,103.8309,KAMPONG TIONG BAHRU,CENTRAL
695,2013,Jan,160147,-,216.8,362.3,-,BUKIT MERAH,1.2773,103.8311,KAMPONG TIONG BAHRU,CENTRAL
696,2013,Jan,160148,-,240.8,282.3,536.7,BUKIT MERAH,1.277,103.8309,KAMPONG TIONG BAHRU,CENTRAL
697,2013,Jan,160149,-,250.4,447.2,525.0,BUKIT MERAH,1.2772,103.8317,KAMPONG TIONG BAHRU,CENTRAL
698,2013,Jan,160150,-,268.5,290.8,-,BUKIT MERAH,1.2771,103.8314,KAMPONG TIONG BAHRU,CENTRAL
9261,2013,Feb,152028,-,280.5,-,-,BUKIT MERAH,1.2769,103.829,KAMPONG TIONG BAHRU,CENTRAL
9317,2013,Feb,160104,148.8,-,-,-,BUKIT MERAH,1.2814,103.8246,KAMPONG TIONG BAHRU,CENTRAL
9318,2013,Feb,160105,108.7,-,-,-,BUKIT MERAH,1.2805,103.8249,KAMPONG TIONG BAHRU,CENTRAL
9319,2013,Feb,160106,103.4,-,-,-,BUKIT MERAH,1.28,103.8245,KAMPONG TIONG BAHRU,CENTRAL
9320,2013,Feb,160107,-,230.5,375.3,-,BUKIT MERAH,1.2799,103.8247,KAMPONG TIONG BAHRU,CENTRAL
9321,2013,Feb,160108,-,237.0,-,-,BUKIT MERAH,1.2793,103.8256,KAMPONG TIONG BAHRU,CENTRAL
9322,2013,Feb,160109,-,-,313.1,-,BUKIT MERAH,1.2796,103.8262,KAMPONG TIONG BAHRU,CENTRAL
9323,2013,Feb,160110,155.2,153.1,-,-,BUKIT MERAH,1.2798,103.8266,KAMPONG TIONG BAHRU,CENTRAL
9324,2013,Feb,160113,-,243.4,-,-,BUKIT MERAH,1.2803,103.8256,KAMPONG TIONG BAHRU,CENTRAL
9336,2013,Feb,160133,-,275.8,-,-,BUKIT MERAH,1.2795,103.8273,KAMPONG TIONG BAHRU,CENTRAL
9337,2013,Feb,160134,-,-,352.9,457.0,BUKIT MERAH,1.279,103.8275,KAMPONG TIONG BAHRU,CENTRAL
9338,2013,Feb,160135,-,-,368.3,401.2,BUKIT MERAH,1.2786,103.8268,KAMPONG TIONG BAHRU,CENTRAL
9339,2013,Feb,160139,-,-,370.9,368.2,BUKIT MERAH,1.2788,103.8266,KAMPONG TIONG BAHRU,CENTRAL
9340,2013,Feb,160140,-,-,-,373.1,BUKIT MERAH,1.278,103.8294,KAMPONG TIONG BAHRU,CENTRAL
9341,2013,Feb,160141,-,274.6,384.8,483.2,BUKIT MERAH,1.2772,103.8282,KAMPONG TIONG BAHRU,CENTRAL
9342,2013,Feb,160142,-,288.5,403.6,-,BUKIT MERAH,1.2772,103.8281,KAMPONG TIONG BAHRU,CENTRAL
9343,2013,Feb,160143,-,-,-,378.7,BUKIT MERAH,1.2779,103.8298,KAMPONG TIONG BAHRU,CENTRAL
9344,2013,Feb,160144,-,272.7,348.3,-,BUKIT MERAH,1.2772,103.8298,KAMPONG TIONG BAHRU,CENTRAL
9345,2013,Feb,160145,-,288.7,-,-,BUKIT MERAH,1.2773,103.8306,KAMPONG TIONG BAHRU,CENTRAL
9346,2013,Feb,160146,-,269.3,446.7,470.0,BUKIT MERAH,1.2777,103.8309,KAMPONG TIONG BAHRU,CENTRAL
9347,2013,Feb,160147,-,203.1,363.0,-,BUKIT MERAH,1.2773,103.8311,KAMPONG TIONG BAHRU,CENTRAL
9348,2013,Feb,160148,-,246.0,283.8,566.3,BUKIT MERAH,1.277,103.8309,KAMPONG TIONG BAHRU,CENTRAL
9349,2013,Feb,160149,-,242.5,449.0,615.5,BUKIT MERAH,1.2772,103.8317,KAMPONG TIONG BAHRU,CENTRAL
9350,2013,Feb,160150,-,292.0,307.0,-,BUKIT MERAH,1.2771,103.8314,KAMPONG TIONG BAHRU,CENTRAL
17893,2013,Mar,152028,-,242.9,-,-,BUKIT MERAH,1.2769,103.829,KAMPONG TIONG BAHRU,CENTRAL
17947,2013,Mar,160104,165.3,-,-,-,BUKIT MERAH,1.2814,103.8246,KAMPONG TIONG BAHRU,CENTRAL
17948,2013,Mar,160105,118.8,-,-,-,BUKIT MERAH,1.2805,103.8249,KAMPONG TIONG BAHRU,CENTRAL
17949,2013,Mar,160106,122.2,-,-,-,BUKIT MERAH,1.28,103.8245,KAMPONG TIONG BAHRU,CENTRAL
17950,2013,Mar,160108,-,267.5,-,-,BUKIT MERAH,1.2793,103.8256,KAMPONG TIONG BAHRU,CENTRAL
17951,2013,Mar,160109,-,-,350.3,-,BUKIT MERAH,1.2796,103.8262,KAMPONG TIONG BAHRU,CENTRAL
17952,2013,Mar,160110,166.3,181.3,-,-,BUKIT MERAH,1.2798,103.8266,KAMPONG TIONG BAHRU,CENTRAL
17953,2013,Mar,160113,-,272.8,-,-,BUKIT MERAH,1.2803,103.8256,KAMPONG TIONG BAHRU,CENTRAL
17965,2013,Mar,160133,-,252.7,-,-,BUKIT MERAH,1.2795,103.8273,KAMPONG TIONG BAHRU,CENTRAL
17966,2013,Mar,160134,-,-,316.9,408.3,BUKIT MERAH,1.279,103.8275,KAMPONG TIONG BAHRU,CENTRAL
17967,2013,Mar,160135,-,-,318.8,356.2,BUKIT MERAH,1.2786,103.8268,KAMPONG TIONG BAHRU,CENTRAL
17968,2013,Mar,160139,-,-,333.6,321.1,BUKIT MERAH,1.2788,103.8266,KAMPONG TIONG BAHRU,CENTRAL
17969,2013,Mar,160140,-,-,-,354.8,BUKIT MERAH,1.278,103.8294,KAMPONG TIONG BAHRU,CENTRAL
17970,2013,Mar,160141,-,242.0,398.5,427.3,BUKIT MERAH,1.2772,103.8282,KAMPONG TIONG BAHRU,CENTRAL
17971,2013,Mar,160142,-,246.3,294.3,-,BUKIT MERAH,1.2772,103.8281,KAMPONG TIONG BAHRU,CENTRAL
17972,2013,Mar,160143,-,-,-,338.0,BUKIT MERAH,1.2779,103.8298,KAMPONG TIONG BAHRU,CENTRAL
17973,2013,Mar,160144,-,230.9,337.0,-,BUKIT MERAH,1.2772,103.8298,KAMPONG TIONG BAHRU,CENTRAL
17974,2013,Mar,160145,-,264.7,-,-,BUKIT MERAH,1.2773,103.8306,KAMPONG TIONG BAHRU,CENTRAL
17975,2013,Mar,160146,-,243.5,366.1,472.7,BUKIT MERAH,1.2777,103.8309,KAMPONG TIONG BAHRU,CENTRAL
17976,2013,Mar,160147,-,195.4,371.8,-,BUKIT MERAH,1.2773,103.8311,KAMPONG TIONG BAHRU,CENTRAL
17977,2013,Mar,160148,-,226.4,294.0,591.0,BUKIT MERAH,1.277,103.8309,KAMPONG TIONG BAHRU,CENTRAL
17978,2013,Mar,160149,-,209.1,397.8,536.3,BUKIT MERAH,1.2772,103.8317,KAMPONG TIONG BAHRU,CENTRAL
17979,2013,Mar,160150,-,289.6,325.8,-,BUKIT MERAH,1.2771,103.8314,KAMPONG TIONG BAHRU,CENTRAL
26544,2013,Apr,152028,-,281.6,-,-,BUKIT MERAH,1.2769,103.829,KAMPONG TIONG BAHRU,CENTRAL
26601,2013,Apr,160104,174.2,-,-,-,BUKIT MERAH,1.2814,103.8246,KAMPONG TIONG BAHRU,CENTRAL
26602,2013,Apr,160105,129.1,-,-,-,BUKIT MERAH,1.2805,103.8249,KAMPONG TIONG BAHRU,CENTRAL
26603,2013,Apr,160106,145.0,-,-,-,BUKIT MERAH,1.28,103.8245,KAMPONG TIONG BAHRU,CENTRAL
26604,2013,Apr,160107,-,305.2,472.8,-,BUKIT MERAH,1.2799,103.8247,KAMPONG TIONG BAHRU,CENTRAL
26605,2013,Apr,160108,-,314.3,-,-,BUKIT MERAH,1.2793,103.8256,KAMPONG TIONG BAHRU,CENTRAL
26606,2013,Apr,160109,-,-,387.6,-,BUKIT MERAH,1.2796,103.8262,KAMPONG TIONG BAHRU,CENTRAL
26607,2013,Apr,160110,180.7,219.3,-,-,BUKIT MERAH,1.2798,103.8266,KAMPONG TIONG BAHRU,CENTRAL
26608,2013,Apr,160113,-,322.5,-,-,BUKIT MERAH,1.2803,103.8256,KAMPONG TIONG BAHRU,CENTRAL
26620,2013,Apr,160133,-,284.0,-,-,BUKIT MERAH,1.2795,103.8273,KAMPONG TIONG BAHRU,CENTRAL
26621,2013,Apr,160134,-,-,367.0,470.2,BUKIT MERAH,1.279,103.8275,KAMPONG TIONG BAHRU,CENTRAL
26622,2013,Apr,160135,-,-,367.4,399.9,BUKIT MERAH,1.2786,103.8268,KAMPONG TIONG BAHRU,CENTRAL
26623,2013,Apr,160139,-,-,376.6,365.5,BUKIT MERAH,1.2788,103.8266,KAMPONG TIONG BAHRU,CENTRAL
26624,2013,Apr,160140,-,-,-,384.0,BUKIT MERAH,1.278,103.8294,KAMPONG TIONG BAHRU,CENTRAL
26625,2013,Apr,160141,-,273.9,423.5,440.0,BUKIT MERAH,1.2772,103.8282,KAMPONG TIONG BAHRU,CENTRAL
26626,2013,Apr,160142,-,282.8,438.5,-,BUKIT MERAH,1.2772,103.8281,KAMPONG TIONG BAHRU,CENTRAL
26627,2013,Apr,160143,-,-,-,388.6,BUKIT MERAH,1.2779,103.8298,KAMPONG TIONG BAHRU,CENTRAL
26628,2013,Apr,160144,-,270.7,366.2,-,BUKIT MERAH,1.2772,103.8298,KAMPONG TIONG BAHRU,CENTRAL
26629,2013,Apr,160145,-,295.5,-,-,BUKIT MERAH,1.2773,103.8306,KAMPONG TIONG BAHRU,CENTRAL
26630,2013,Apr,160146,-,279.0,434.4,504.0,BUKIT MERAH,1.2777,103.8309,KAMPONG TIONG BAHRU,CENTRAL
26631,2013,Apr,160147,-,217.8,392.8,-,BUKIT MERAH,1.2773,103.8311,KAMPONG TIONG BAHRU,CENTRAL
26632,2013,Apr,160148,-,253.9,308.8,618.7,BUKIT MERAH,1.277,103.8309,KAMPONG TIONG BAHRU,CENTRAL
26633,2013,Apr,160149,-,240.5,451.4,615.3,BUKIT MERAH,1.2772,103.8317,KAMPONG TIONG BAHRU,CENTRAL
26634,2013,Apr,160150,-,311.0,338.0,-,BUKIT MERAH,1.2771,103.8314,KAMPONG TIONG BAHRU,CENTRAL
35235,2013,May,152028,-,358.5,-,-,BUKIT MERAH,1.2769,103.829,KAMPONG TIONG BAHRU,CENTRAL
35291,2013,May,160104,170.9,-,-,-,BUKIT MERAH,1.2814,103.8246,KAMPONG TIONG BAHRU,CENTRAL
35292,2013,May,160105,127.1,-,-,-,BUKIT MERAH,1.2805,103.8249,KAMPONG TIONG BAHRU,CENTRAL
35293,2013,May,160106,134.7,-,-,-,BUKIT MERAH,1.28,103.8245,KAMPONG TIONG BAHRU,CENTRAL
35294,2013,May,160107,-,290.3,557.5,-,BUKIT MERAH,1.2799,103.8247,KAMPONG TIONG BAHRU,CENTRAL
35295,2013,May,160108,-,299.4,-,-,BUKIT MERAH,1.2793,103.8256,KAMPONG TIONG BAHRU,CENTRAL
35296,2013,May,160109,-,-,381.4,-,BUKIT MERAH,1.2796,103.8262,KAMPONG TIONG BAHRU,CENTRAL
35297,2013,May,160110,179.3,206.5,-,-,BUKIT MERAH,1.2798,103.8266,KAMPONG TIONG BAHRU,CENTRAL
35298,2013,May,160113,-,293.6,-,-,BUKIT MERAH,1.2803,103.8256,KAMPONG TIONG BAHRU,CENTRAL
35310,2013,May,160133,-,353.5,-,-,BUKIT MERAH,1.2795,103.8273,KAMPONG TIONG BAHRU,CENTRAL
35311,2013,May,160134,-,-,448.8,493.8,BUKIT MERAH,1.279,103.8275,KAMPONG TIONG BAHRU,CENTRAL
35312,2013,May,160135,-,-,399.1,488.6,BUKIT MERAH,1.2786,103.8268,KAMPONG TIONG BAHRU,CENTRAL
35313,2013,May,160139,-,-,471.5,461.8,BUKIT MERAH,1.2788,103.8266,KAMPONG TIONG BAHRU,CENTRAL
35314,2013,May,160140,-,-,-,481.2,BUKIT MERAH,1.278,103.8294,KAMPONG TIONG BAHRU,CENTRAL
35315,2013,May,160141,-,343.6,570.7,571.0,BUKIT MERAH,1.2772,103.8282,KAMPONG TIONG BAHRU,CENTRAL
35316,2013,May,160142,-,360.5,496.8,-,BUKIT MERAH,1.2772,103.8281,KAMPONG TIONG BAHRU,CENTRAL
35317,2013,May,160143,-,-,-,472.1,BUKIT MERAH,1.2779,103.8298,KAMPONG TIONG BAHRU,CENTRAL
35318,2013,May,160144,-,351.1,446.8,-,BUKIT MERAH,1.2772,103.8298,KAMPONG TIONG BAHRU,CENTRAL
35319,2013,May,160145,-,409.4,-,-,BUKIT MERAH,1.2773,103.8306,KAMPONG TIONG BAHRU,CENTRAL
35320,2013,May,160146,-,330.2,571.4,580.7,BUKIT MERAH,1.2777,103.8309,KAMPONG TIONG BAHRU,CENTRAL
35321,2013,May,160147,-,299.8,530.5,-,BUKIT MERAH,1.2773,103.8311,KAMPONG TIONG BAHRU,CENTRAL
35322,2013,May,160148,-,315.5,369.2,713.0,BUKIT MERAH,1.277,103.8309,KAMPONG TIONG BAHRU,CENTRAL
35323,2013,May,160149,-,284.3,-,-,BUKIT MERAH,1.2772,103.8317,KAMPONG TIONG BAHRU,CENTRAL
35324,2013,May,160150,-,407.8,463.0,-,BUKIT MERAH,1.2771,103.8314,KAMPONG TIONG BAHRU,CENTRAL
43823,2013,Jun,152028,-,324.9,-,-,BUKIT MERAH,1.2769,103.829,KAMPONG TIONG BAHRU,CENTRAL
43877,2013,Jun,160104,211.9,-,-,-,BUKIT MERAH,1.2814,103.8246,KAMPONG TIONG BAHRU,CENTRAL
43878,2013,Jun,160105,154.5,-,-,-,BUKIT MERAH,1.2805,103.8249,KAMPONG TIONG BAHRU,CENTRAL
43879,2013,Jun,160106,156.9,-,-,-,BUKIT MERAH,1.28,103.8245,KAMPONG TIONG BAHRU,CENTRAL
43880,2013,Jun,160108,-,325.1,-,-,BUKIT MERAH,1.2793,103.8256,KAMPONG TIONG BAHRU,CENTRAL
43881,2013,Jun,160109,-,-,433.3,-,BUKIT MERAH,1.2796,103.8262,KAMPONG TIONG BAHRU,CENTRAL
43882,2013,Jun,160110,200.5,242.4,-,-,BUKIT MERAH,1.2798,103.8266,KAMPONG TIONG BAHRU,CENTRAL
43883,2013,Jun,160113,-,349.5,-,-,BUKIT MERAH,1.2803,103.8256,KAMPONG TIONG BAHRU,CENTRAL
43895,2013,Jun,160133,-,320.4,-,-,BUKIT MERAH,1.2795,103.8273,KAMPONG TIONG BAHRU,CENTRAL
43896,2013,Jun,160134,-,-,414.6,497.4,BUKIT MERAH,1.279,103.8275,KAMPONG TIONG BAHRU,CENTRAL
43897,2013,Jun,160135,-,-,394.1,462.6,BUKIT MERAH,1.2786,103.8268,KAMPONG TIONG BAHRU,CENTRAL
43898,2013,Jun,160139,-,-,430.6,424.9,BUKIT MERAH,1.2788,103.8266,KAMPONG TIONG BAHRU,CENTRAL
43899,2013,Jun,160140,-,-,-,451.4,BUKIT MERAH,1.278,103.8294,KAMPONG TIONG BAHRU,CENTRAL
43900,2013,Jun,160141,-,318.6,524.5,450.0,BUKIT MERAH,1.2772,103.8282,KAMPONG TIONG BAHRU,CENTRAL
43901,2013,Jun,160142,-,327.6,470.3,-,BUKIT MERAH,1.2772,103.8281,KAMPONG TIONG BAHRU,CENTRAL
43902,2013,Jun,160143,-,-,-,441.8,BUKIT MERAH,1.2779,103.8298,KAMPONG TIONG BAHRU,CENTRAL
43903,2013,Jun,160144,-,313.1,414.1,-,BUKIT MERAH,1.2772,103.8298,KAMPONG TIONG BAHRU,CENTRAL
43904,2013,Jun,160145,-,355.1,-,-,BUKIT MERAH,1.2773,103.8306,KAMPONG TIONG BAHRU,CENTRAL
43905,2013,Jun,160146,-,310.6,510.3,551.3,BUKIT MERAH,1.2777,103.8309,KAMPONG TIONG BAHRU,CENTRAL
43906,2013,Jun,160147,-,283.4,469.0,-,BUKIT MERAH,1.2773,103.8311,KAMPONG TIONG BAHRU,CENTRAL
43907,2013,Jun,160148,-,285.7,344.6,676.7,BUKIT MERAH,1.277,103.8309,KAMPONG TIONG BAHRU,CENTRAL
43908,2013,Jun,160149,-,267.6,509.1,791.8,BUKIT MERAH,1.2772,103.8317,KAMPONG TIONG BAHRU,CENTRAL
43909,2013,Jun,160150,-,365.4,406.8,-,BUKIT MERAH,1.2771,103.8314,KAMPONG TIONG BAHRU,CENTRAL
52497,2013,Jul,152028,-,351.0,-,-,BUKIT MERAH,1.2769,103.829,KAMPONG TIONG BAHRU,CENTRAL
52551,2013,Jul,160104,178.9,-,-,-,BUKIT MERAH,1.2814,103.8246,KAMPONG TIONG BAHRU,CENTRAL
52552,2013,Jul,160105,133.8,-,-,-,BUKIT MERAH,1.2805,103.8249,KAMPONG TIONG BAHRU,CENTRAL
52553,2013,Jul,160106,132.4,-,-,-,BUKIT MERAH,1.28,103.8245,KAMPONG TIONG BAHRU,CENTRAL
52554,2013,Jul,160107,-,288.7,478.4,-,BUKIT MERAH,1.2799,103.8247,KAMPONG TIONG BAHRU,CENTRAL
52555,2013,Jul,160108,-,281.6,-,-,BUKIT MERAH,1.2793,103.8256,KAMPONG TIONG BAHRU,CENTRAL
52556,2013,Jul,160109,-,-,382.3,-,BUKIT MERAH,1.2796,103.8262,KAMPONG TIONG BAHRU,CENTRAL
52557,2013,Jul,160110,175.3,190.4,-,-,BUKIT MERAH,1.2798,103.8266,KAMPONG TIONG BAHRU,CENTRAL
52558,2013,Jul,160113,-,302.7,-,-,BUKIT MERAH,1.2803,103.8256,KAMPONG TIONG BAHRU,CENTRAL
52570,2013,Jul,160133,-,341.0,-,-,BUKIT MERAH,1.2795,103.8273,KAMPONG TIONG BAHRU,CENTRAL
52571,2013,Jul,160134,-,-,469.5,578.4,BUKIT MERAH,1.279,103.8275,KAMPONG TIONG BAHRU,CENTRAL
52572,2013,Jul,160135,-,-,398.3,473.6,BUKIT MERAH,1.2786,103.8268,KAMPONG TIONG BAHRU,CENTRAL
52573,2013,Jul,160139,-,-,438.9,432.1,BUKIT MERAH,1.2788,103.8266,KAMPONG TIONG BAHRU,CENTRAL
52574,2013,Jul,160140,-,-,-,527.4,BUKIT MERAH,1.278,103.8294,KAMPONG TIONG BAHRU,CENTRAL
52575,2013,Jul,160141,-,387.5,565.4,701.3,BUKIT MERAH,1.2772,103.8282,KAMPONG TIONG BAHRU,CENTRAL
52576,2013,Jul,160142,-,364.5,568.5,-,BUKIT MERAH,1.2772,103.8281,KAMPONG TIONG BAHRU,CENTRAL
52577,2013,Jul,160143,-,-,-,458.0,BUKIT MERAH,1.2779,103.8298,KAMPONG TIONG BAHRU,CENTRAL
52578,2013,Jul,160144,-,320.0,417.7,-,BUKIT MERAH,1.2772,103.8298,KAMPONG TIONG BAHRU,CENTRAL
52579,2013,Jul,160145,-,383.2,-,-,BUKIT MERAH,1.2773,103.8306,KAMPONG TIONG BAHRU,CENTRAL
52580,2013,Jul,160146,-,373.0,625.6,704.7,BUKIT MERAH,1.2777,103.8309,KAMPONG TIONG BAHRU,CENTRAL
52581,2013,Jul,160147,-,264.3,444.8,-,BUKIT MERAH,1.2773,103.8311,KAMPONG TIONG BAHRU,CENTRAL
52582,2013,Jul,160148,-,311.4,370.2,645.0,BUKIT MERAH,1.277,103.8309,KAMPONG TIONG BAHRU,CENTRAL
52583,2013,Jul,160149,-,299.4,539.1,827.5,BUKIT MERAH,1.2772,103.8317,KAMPONG TIONG BAHRU,CENTRAL
52584,2013,Jul,160150,-,337.8,430.3,-,BUKIT MERAH,1.2771,103.8314,KAMPONG TIONG BAHRU,CENTRAL
61181,2013,Aug,152028,-,345.0,-,-,BUKIT MERAH,1.2769,103.829,KAMPONG TIONG BAHRU,CENTRAL
61235,2013,Aug,160104,197.8,-,-,-,BUKIT MERAH,1.2814,103.8246,KAMPONG TIONG BAHRU,CENTRAL
61236,2013,Aug,160105,141.1,-,-,-,BUKIT MERAH,1.2805,103.8249,KAMPONG TIONG BAHRU,CENTRAL
61237,2013,Aug,160106,135.0,-,-,-,BUKIT MERAH,1.28,103.8245,KAMPONG TIONG BAHRU,CENTRAL
61238,2013,Aug,160108,-,295.7,-,-,BUKIT MERAH,1.2793,103.8256,KAMPONG TIONG BAHRU,CENTRAL
61239,2013,Aug,160109,-,-,382.1,-,BUKIT MERAH,1.2796,103.8262,KAMPONG TIONG BAHRU,CENTRAL
61240,2013,Aug,160110,182.2,211.3,-,-,BUKIT MERAH,1.2798,103.8266,KAMPONG TIONG BAHRU,CENTRAL
61241,2013,Aug,160113,-,327.7,-,-,BUKIT MERAH,1.2803,103.8256,KAMPONG TIONG BAHRU,CENTRAL
61253,2013,Aug,160133,-,336.5,-,-,BUKIT MERAH,1.2795,103.8273,KAMPONG TIONG BAHRU,CENTRAL
61254,2013,Aug,160134,-,-,450.8,549.5,BUKIT MERAH,1.279,103.8275,KAMPONG TIONG BAHRU,CENTRAL
61255,2013,Aug,160135,-,-,394.7,467.0,BUKIT MERAH,1.2786,103.8268,KAMPONG TIONG BAHRU,CENTRAL
61256,2013,Aug,160139,-,-,441.4,423.4,BUKIT MERAH,1.2788,103.8266,KAMPONG TIONG BAHRU,CENTRAL
61257,2013,Aug,160140,-,-,-,499.5,BUKIT MERAH,1.278,103.8294,KAMPONG TIONG BAHRU,CENTRAL
61258,2013,Aug,160141,-,362.2,545.7,766.0,BUKIT MERAH,1.2772,103.8282,KAMPONG TIONG BAHRU,CENTRAL
61259,2013,Aug,160142,-,354.9,506.8,-,BUKIT MERAH,1.2772,103.8281,KAMPONG TIONG BAHRU,CENTRAL
61260,2013,Aug,160143,-,-,-,461.0,BUKIT MERAH,1.2779,103.8298,KAMPONG TIONG BAHRU,CENTRAL
61261,2013,Aug,160144,-,326.7,422.5,-,BUKIT MERAH,1.2772,103.8298,KAMPONG TIONG BAHRU,CENTRAL
61262,2013,Aug,160145,-,377.7,-,-,BUKIT MERAH,1.2773,103.8306,KAMPONG TIONG BAHRU,CENTRAL
61263,2013,Aug,160146,-,341.7,557.5,638.0,BUKIT MERAH,1.2777,103.8309,KAMPONG TIONG BAHRU,CENTRAL
61264,2013,Aug,160147,-,261.3,464.5,-,BUKIT MERAH,1.2773,103.8311,KAMPONG TIONG BAHRU,CENTRAL
61265,2013,Aug,160148,-,303.9,363.2,672.0,BUKIT MERAH,1.277,103.8309,KAMPONG TIONG BAHRU,CENTRAL
61266,2013,Aug,160149,-,290.8,529.2,823.0,BUKIT MERAH,1.2772,103.8317,KAMPONG TIONG BAHRU,CENTRAL
61267,2013,Aug,160150,-,357.1,425.3,-,BUKIT MERAH,1.2771,103.8314,KAMPONG TIONG BAHRU,CENTRAL
69841,2013,Sep,152028,-,307.5,-,-,BUKIT MERAH,1.2769,103.829,KAMPONG TIONG BAHRU,CENTRAL
69895,2013,Sep,160104,203.4,-,-,-,BUKIT MERAH,1.2814,103.8246,KAMPONG TIONG BAHRU,CENTRAL
69896,2013,Sep,160105,151.3,-,-,-,BUKIT MERAH,1.2805,103.8249,KAMPONG TIONG BAHRU,CENTRAL
69897,2013,Sep,160106,145.7,-,-,-,BUKIT MERAH,1.28,103.8245,KAMPONG TIONG BAHRU,CENTRAL
69898,2013,Sep,160108,-,314.0,-,-,BUKIT MERAH,1.2793,103.8256,KAMPONG TIONG BAHRU,CENTRAL
69899,2013,Sep,160109,-,-,411.6,-,BUKIT MERAH,1.2796,103.8262,KAMPONG TIONG BAHRU,CENTRAL
69900,2013,Sep,160110,192.4,217.6,-,-,BUKIT MERAH,1.2798,103.8266,KAMPONG TIONG BAHRU,CENTRAL
69901,2013,Sep,160113,-,344.3,-,-,BUKIT MERAH,1.2803,103.8256,KAMPONG TIONG BAHRU,CENTRAL
69914,2013,Sep,160133,-,261.4,-,-,BUKIT MERAH,1.2795,103.8273,KAMPONG TIONG BAHRU,CENTRAL
69915,2013,Sep,160134,-,-,332.6,418.0,BUKIT MERAH,1.279,103.8275,KAMPONG TIONG BAHRU,CENTRAL
69916,2013,Sep,160135,-,-,385.7,411.2,BUKIT MERAH,1.2786,103.8268,KAMPONG TIONG BAHRU,CENTRAL
69917,2013,Sep,160139,-,-,402.2,362.4,BUKIT MERAH,1.2788,103.8266,KAMPONG TIONG BAHRU,CENTRAL
69918,2013,Sep,160140,-,-,-,366.0,BUKIT MERAH,1.278,103.8294,KAMPONG TIONG BAHRU,CENTRAL
69919,2013,Sep,160141,-,272.8,437.7,658.4,BUKIT MERAH,1.2772,103.8282,KAMPONG TIONG BAHRU,CENTRAL
69920,2013,Sep,160142,-,291.6,350.2,-,BUKIT MERAH,1.2772,103.8281,KAMPONG TIONG BAHRU,CENTRAL
69921,2013,Sep,160143,-,-,-,358.9,BUKIT MERAH,1.2779,103.8298,KAMPONG TIONG BAHRU,CENTRAL
69922,2013,Sep,160144,-,238.7,313.4,-,BUKIT MERAH,1.2772,103.8298,KAMPONG TIONG BAHRU,CENTRAL
69923,2013,Sep,160145,-,308.3,-,-,BUKIT MERAH,1.2773,103.8306,KAMPONG TIONG BAHRU,CENTRAL
69924,2013,Sep,160146,-,253.9,408.9,486.0,BUKIT MERAH,1.2777,103.8309,KAMPONG TIONG BAHRU,CENTRAL
69925,2013,Sep,160147,-,252.1,337.8,-,BUKIT MERAH,1.2773,103.8311,KAMPONG TIONG BAHRU,CENTRAL
