index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region
1144,2013,Jan,320001,-,-,378.5,-,KALLANG,1.3233,103.8615,BENDEMEER,CENTRAL
1145,2013,Jan,320003,-,267.3,-,617.4,KALLANG,1.3228,103.8611,BENDEMEER,CENTRAL
1146,2013,Jan,320005,-,247.7,491.4,-,KALLANG,1.3233,103.8599,BENDEMEER,CENTRAL
1147,2013,Jan,320006,-,285.8,-,-,KALLANG,1.3234,103.859,BENDEMEER,CENTRAL
1148,2013,Jan,320007,-,293.4,-,-,KALLANG,1.3236,103.8592,BENDEMEER,CENTRAL
1149,2013,Jan,320008,-,274.5,-,-,KALLANG,1.3235,103.8598,BENDEMEER,CENTRAL
1150,2013,Jan,320009,-,-,344.8,-,KALLANG,1.3238,103.8629,BENDEMEER,CENTRAL
1151,2013,Jan,320010,-,-,433.1,-,KALLANG,1.3237,103.8633,BENDEMEER,CENTRAL
1152,2013,Jan,320011,-,-,393.3,-,KALLANG,1.3231,103.8632,BENDEMEER,CENTRAL
1153,2013,Jan,320012,-,-,433.0,-,KALLANG,1.3229,103.8629,BENDEMEER,CENTRAL
1154,2013,Jan,320013,-,-,-,449.0,KALLANG,1.3233,103.8629,BENDEMEER,CENTRAL
1155,2013,Jan,320014,-,287.4,395.7,543.5,KALLANG,1.3239,103.862,BENDEMEER,CENTRAL
1156,2013,Jan,320015,-,-,337.0,-,KALLANG,1.3242,103.8618,BENDEMEER,CENTRAL
1157,2013,Jan,320016,-,245.8,499.6,-,KALLANG,1.3243,103.8622,BENDEMEER,CENTRAL
1158,2013,Jan,320017,-,-,440.8,-,KALLANG,1.3239,103.8623,BENDEMEER,CENTRAL
1159,2013,Jan,320018,-,-,378.0,-,KALLANG,1.3242,103.8628,BENDEMEER,CENTRAL
1160,2013,Jan,320019,-,-,370.8,-,KALLANG,1.3245,103.8627,BENDEMEER,CENTRAL
1164,2013,Jan,320023,-,373.1,378.8,-,KALLANG,1.3249,103.863,BENDEMEER,CENTRAL
1196,2013,Jan,320109,-,-,370.8,395.4,KALLANG,1.3216,103.8589,BENDEMEER,CENTRAL
1197,2013,Jan,320110,-,-,-,415.0,KALLANG,1.3219,103.859,BENDEMEER,CENTRAL
1198,2013,Jan,320111,-,164.5,328.9,-,KALLANG,1.3214,103.8582,BENDEMEER,CENTRAL
1199,2013,Jan,320112,-,218.7,397.0,366.2,KALLANG,1.3212,103.8591,BENDEMEER,CENTRAL
1203,2013,Jan,320119,-,-,291.7,411.8,KALLANG,1.3198,103.8569,BENDEMEER,CENTRAL
1204,2013,Jan,320120,-,195.6,346.1,273.4,KALLANG,1.3193,103.8567,BENDEMEER,CENTRAL
1205,2013,Jan,320121,-,-,337.7,329.7,KALLANG,1.3187,103.8564,BENDEMEER,CENTRAL
1206,2013,Jan,320122,-,175.1,306.2,309.5,KALLANG,1.319,103.8572,BENDEMEER,CENTRAL
1207,2013,Jan,320123,-,234.1,320.8,-,KALLANG,1.3184,103.8567,BENDEMEER,CENTRAL
1208,2013,Jan,320124,-,252.3,344.1,-,KALLANG,1.3183,103.8561,BENDEMEER,CENTRAL
1209,2013,Jan,321004,-,-,450.3,471.0,KALLANG,1.3224,103.8602,BENDEMEER,CENTRAL
1214,2013,Jan,321020,-,278.2,343.6,525.4,KALLANG,1.3247,103.8631,BENDEMEER,CENTRAL
1215,2013,Jan,321021,-,-,-,396.6,KALLANG,1.3249,103.8622,BENDEMEER,CENTRAL
1216,2013,Jan,321022,-,-,-,487.7,KALLANG,1.3252,103.8623,BENDEMEER,CENTRAL
1221,2013,Jan,321105,-,248.4,308.3,-,KALLANG,1.3208,103.8611,BENDEMEER,CENTRAL
1223,2013,Jan,321107,-,228.3,320.5,-,KALLANG,1.3195,103.86,BENDEMEER,CENTRAL
1224,2013,Jan,321108,-,196.0,356.5,370.5,KALLANG,1.3214,103.8595,BENDEMEER,CENTRAL
1229,2013,Jan,322004,-,-,474.5,435.4,KALLANG,1.3224,103.8606,BENDEMEER,CENTRAL
1230,2013,Jan,322101,-,324.3,-,-,KALLANG,1.3195,103.861,BENDEMEER,CENTRAL
1231,2013,Jan,322102,-,281.5,-,-,KALLANG,1.3206,103.8619,BENDEMEER,CENTRAL
1232,2013,Jan,322103,-,-,355.2,429.2,KALLANG,1.3207,103.8615,BENDEMEER,CENTRAL
1233,2013,Jan,322104,-,-,388.0,435.3,KALLANG,1.3202,103.8584,BENDEMEER,CENTRAL
1234,2013,Jan,322106,-,-,316.9,378.9,KALLANG,1.3209,103.8611,BENDEMEER,CENTRAL
1237,2013,Jan,323108,-,-,349.6,383.2,KALLANG,1.32,103.8594,BENDEMEER,CENTRAL
1238,2013,Jan,324108,-,-,289.7,365.9,KALLANG,1.3201,103.8593,BENDEMEER,CENTRAL
1239,2013,Jan,330004,-,-,371.8,392.4,KALLANG,1.3159999999999998,103.8597,BENDEMEER,CENTRAL
1240,2013,Jan,330005,-,-,331.4,359.7,KALLANG,1.3163,103.8602,BENDEMEER,CENTRAL
1241,2013,Jan,330006,-,-,299.7,412.3,KALLANG,1.3169,103.8607,BENDEMEER,CENTRAL
1242,2013,Jan,330007,-,204.0,234.1,298.6,KALLANG,1.3167,103.862,BENDEMEER,CENTRAL
1243,2013,Jan,330008,-,193.8,249.7,323.8,KALLANG,1.3164,103.8618,BENDEMEER,CENTRAL
1244,2013,Jan,330009,-,196.9,231.3,355.0,KALLANG,1.3168,103.8604,BENDEMEER,CENTRAL
1245,2013,Jan,330026,-,224.1,256.1,-,KALLANG,1.3185,103.8633,BENDEMEER,CENTRAL
1246,2013,Jan,330028,-,256.8,-,-,KALLANG,1.3187,103.8633,BENDEMEER,CENTRAL
1247,2013,Jan,330031,111.9,-,-,-,KALLANG,1.3195,103.8638,BENDEMEER,CENTRAL
1248,2013,Jan,330032,123.1,-,-,-,KALLANG,1.3195,103.8638,BENDEMEER,CENTRAL
1249,2013,Jan,330033,114.8,-,-,-,KALLANG,1.3191,103.8634,BENDEMEER,CENTRAL
1250,2013,Jan,330034,-,236.7,-,728.9,KALLANG,1.3201,103.8625,BENDEMEER,CENTRAL
1251,2013,Jan,330045,-,267.8,-,478.5,KALLANG,1.3225,103.8661,BENDEMEER,CENTRAL
1252,2013,Jan,330046,-,-,-,574.4,KALLANG,1.3229,103.8663,BENDEMEER,CENTRAL
1253,2013,Jan,330048,-,-,-,485.3,KALLANG,1.3231,103.8664,BENDEMEER,CENTRAL
1254,2013,Jan,330049,-,-,280.0,-,KALLANG,1.3244,103.8666,BENDEMEER,CENTRAL
1277,2013,Jan,331038,-,-,302.3,376.0,KALLANG,1.3207,103.8659,BENDEMEER,CENTRAL
1278,2013,Jan,331039,-,218.1,317.5,-,KALLANG,1.3201,103.8663,BENDEMEER,CENTRAL
1280,2013,Jan,332038,-,217.6,270.9,-,KALLANG,1.321,103.8661,BENDEMEER,CENTRAL
1282,2013,Jan,333038,-,220.3,323.4,-,KALLANG,1.3214,103.8667,BENDEMEER,CENTRAL
1283,2013,Jan,334038,-,203.1,283.6,-,KALLANG,1.3216,103.8667,BENDEMEER,CENTRAL
9799,2013,Feb,320001,-,-,330.2,-,KALLANG,1.3233,103.8615,BENDEMEER,CENTRAL
9800,2013,Feb,320003,-,208.4,-,447.8,KALLANG,1.3228,103.8611,BENDEMEER,CENTRAL
9801,2013,Feb,320005,-,198.3,372.7,-,KALLANG,1.3233,103.8599,BENDEMEER,CENTRAL
9802,2013,Feb,320006,-,220.0,-,-,KALLANG,1.3234,103.859,BENDEMEER,CENTRAL
9803,2013,Feb,320007,-,215.8,-,-,KALLANG,1.3236,103.8592,BENDEMEER,CENTRAL
9804,2013,Feb,320008,-,208.6,-,-,KALLANG,1.3235,103.8598,BENDEMEER,CENTRAL
9805,2013,Feb,320009,-,-,287.7,-,KALLANG,1.3238,103.8629,BENDEMEER,CENTRAL
9806,2013,Feb,320010,-,-,345.7,-,KALLANG,1.3237,103.8633,BENDEMEER,CENTRAL
9807,2013,Feb,320011,-,-,317.4,-,KALLANG,1.3231,103.8632,BENDEMEER,CENTRAL
9808,2013,Feb,320012,-,-,326.4,-,KALLANG,1.3229,103.8629,BENDEMEER,CENTRAL
9809,2013,Feb,320013,-,-,-,354.4,KALLANG,1.3233,103.8629,BENDEMEER,CENTRAL
9810,2013,Feb,320014,-,255.8,368.7,523.3,KALLANG,1.3239,103.862,BENDEMEER,CENTRAL
9811,2013,Feb,320015,-,-,306.6,-,KALLANG,1.3242,103.8618,BENDEMEER,CENTRAL
9812,2013,Feb,320016,-,165.4,353.1,-,KALLANG,1.3243,103.8622,BENDEMEER,CENTRAL
9813,2013,Feb,320017,-,-,363.3,-,KALLANG,1.3239,103.8623,BENDEMEER,CENTRAL
9814,2013,Feb,320018,-,-,318.9,-,KALLANG,1.3242,103.8628,BENDEMEER,CENTRAL
9815,2013,Feb,320019,-,-,269.0,-,KALLANG,1.3245,103.8627,BENDEMEER,CENTRAL
9819,2013,Feb,320023,-,340.9,256.9,-,KALLANG,1.3249,103.863,BENDEMEER,CENTRAL
9853,2013,Feb,320109,-,-,423.5,433.9,KALLANG,1.3216,103.8589,BENDEMEER,CENTRAL
9854,2013,Feb,320110,-,-,-,499.6,KALLANG,1.3219,103.859,BENDEMEER,CENTRAL
9855,2013,Feb,320111,-,239.8,376.1,-,KALLANG,1.3214,103.8582,BENDEMEER,CENTRAL
9856,2013,Feb,320112,-,223.3,402.0,428.6,KALLANG,1.3212,103.8591,BENDEMEER,CENTRAL
9860,2013,Feb,320119,-,-,356.5,437.1,KALLANG,1.3198,103.8569,BENDEMEER,CENTRAL
9861,2013,Feb,320120,-,257.4,388.1,369.2,KALLANG,1.3193,103.8567,BENDEMEER,CENTRAL
9862,2013,Feb,320121,-,-,384.4,383.1,KALLANG,1.3187,103.8564,BENDEMEER,CENTRAL
9863,2013,Feb,320122,-,196.0,333.0,351.2,KALLANG,1.319,103.8572,BENDEMEER,CENTRAL
9864,2013,Feb,320123,-,256.3,378.4,-,KALLANG,1.3184,103.8567,BENDEMEER,CENTRAL
9865,2013,Feb,320124,-,281.3,373.5,-,KALLANG,1.3183,103.8561,BENDEMEER,CENTRAL
9866,2013,Feb,321004,-,-,355.9,382.0,KALLANG,1.3224,103.8602,BENDEMEER,CENTRAL
9871,2013,Feb,321020,-,204.5,289.4,572.6,KALLANG,1.3247,103.8631,BENDEMEER,CENTRAL
9872,2013,Feb,321021,-,-,-,298.3,KALLANG,1.3249,103.8622,BENDEMEER,CENTRAL
9873,2013,Feb,321022,-,-,-,418.6,KALLANG,1.3252,103.8623,BENDEMEER,CENTRAL
9878,2013,Feb,321105,-,272.6,343.1,-,KALLANG,1.3208,103.8611,BENDEMEER,CENTRAL
9880,2013,Feb,321107,-,257.7,363.1,-,KALLANG,1.3195,103.86,BENDEMEER,CENTRAL
9881,2013,Feb,321108,-,248.1,397.8,395.2,KALLANG,1.3214,103.8595,BENDEMEER,CENTRAL
9886,2013,Feb,322004,-,-,413.9,368.1,KALLANG,1.3224,103.8606,BENDEMEER,CENTRAL
9887,2013,Feb,322101,-,341.0,-,-,KALLANG,1.3195,103.861,BENDEMEER,CENTRAL
9888,2013,Feb,322102,-,305.7,-,-,KALLANG,1.3206,103.8619,BENDEMEER,CENTRAL
9889,2013,Feb,322103,-,-,363.3,433.1,KALLANG,1.3207,103.8615,BENDEMEER,CENTRAL
9890,2013,Feb,322104,-,-,409.3,473.1,KALLANG,1.3202,103.8584,BENDEMEER,CENTRAL
9891,2013,Feb,322106,-,-,360.0,429.1,KALLANG,1.3209,103.8611,BENDEMEER,CENTRAL
9894,2013,Feb,323108,-,-,392.8,434.3,KALLANG,1.32,103.8594,BENDEMEER,CENTRAL
9895,2013,Feb,324108,-,-,337.4,392.2,KALLANG,1.3201,103.8593,BENDEMEER,CENTRAL
9896,2013,Feb,330004,-,-,415.7,495.0,KALLANG,1.3159999999999998,103.8597,BENDEMEER,CENTRAL
9897,2013,Feb,330005,-,-,394.7,396.9,KALLANG,1.3163,103.8602,BENDEMEER,CENTRAL
9898,2013,Feb,330006,-,-,362.0,461.9,KALLANG,1.3169,103.8607,BENDEMEER,CENTRAL
9899,2013,Feb,330007,-,240.6,272.5,333.6,KALLANG,1.3167,103.862,BENDEMEER,CENTRAL
9900,2013,Feb,330008,-,243.5,291.9,349.4,KALLANG,1.3164,103.8618,BENDEMEER,CENTRAL
9901,2013,Feb,330009,-,238.5,265.8,376.5,KALLANG,1.3168,103.8604,BENDEMEER,CENTRAL
9902,2013,Feb,330026,-,236.8,292.4,-,KALLANG,1.3185,103.8633,BENDEMEER,CENTRAL
9903,2013,Feb,330028,-,262.3,-,-,KALLANG,1.3187,103.8633,BENDEMEER,CENTRAL
9904,2013,Feb,330031,128.4,-,-,-,KALLANG,1.3195,103.8638,BENDEMEER,CENTRAL
9905,2013,Feb,330032,129.6,-,-,-,KALLANG,1.3195,103.8638,BENDEMEER,CENTRAL
9906,2013,Feb,330033,124.8,-,-,-,KALLANG,1.3191,103.8634,BENDEMEER,CENTRAL
9907,2013,Feb,330034,-,269.1,-,671.5,KALLANG,1.3201,103.8625,BENDEMEER,CENTRAL
9908,2013,Feb,330045,-,290.4,-,504.8,KALLANG,1.3225,103.8661,BENDEMEER,CENTRAL
9909,2013,Feb,330046,-,-,-,599.0,KALLANG,1.3229,103.8663,BENDEMEER,CENTRAL
9910,2013,Feb,330048,-,-,-,576.4,KALLANG,1.3231,103.8664,BENDEMEER,CENTRAL
9911,2013,Feb,330049,-,-,317.3,-,KALLANG,1.3244,103.8666,BENDEMEER,CENTRAL
9934,2013,Feb,331038,-,-,308.4,361.7,KALLANG,1.3207,103.8659,BENDEMEER,CENTRAL
9935,2013,Feb,331039,-,224.6,335.4,-,KALLANG,1.3201,103.8663,BENDEMEER,CENTRAL
9937,2013,Feb,332038,-,222.8,315.4,-,KALLANG,1.321,103.8661,BENDEMEER,CENTRAL
9939,2013,Feb,333038,-,234.2,342.7,-,KALLANG,1.3214,103.8667,BENDEMEER,CENTRAL
9940,2013,Feb,334038,-,222.6,323.8,-,KALLANG,1.3216,103.8667,BENDEMEER,CENTRAL
18429,2013,Mar,320001,-,-,330.8,-,KALLANG,1.3233,103.8615,BENDEMEER,CENTRAL
18430,2013,Mar,320003,-,224.5,-,498.3,KALLANG,1.3228,103.8611,BENDEMEER,CENTRAL
18431,2013,Mar,320005,-,208.4,391.6,-,KALLANG,1.3233,103.8599,BENDEMEER,CENTRAL
18432,2013,Mar,320006,-,235.4,-,-,KALLANG,1.3234,103.859,BENDEMEER,CENTRAL
18433,2013,Mar,320007,-,230.3,-,-,KALLANG,1.3236,103.8592,BENDEMEER,CENTRAL
18434,2013,Mar,320008,-,223.7,-,-,KALLANG,1.3235,103.8598,BENDEMEER,CENTRAL
18435,2013,Mar,320009,-,-,295.9,-,KALLANG,1.3238,103.8629,BENDEMEER,CENTRAL
18436,2013,Mar,320010,-,-,364.3,-,KALLANG,1.3237,103.8633,BENDEMEER,CENTRAL
18437,2013,Mar,320011,-,-,332.5,-,KALLANG,1.3231,103.8632,BENDEMEER,CENTRAL
18438,2013,Mar,320012,-,-,355.2,-,KALLANG,1.3229,103.8629,BENDEMEER,CENTRAL
18439,2013,Mar,320013,-,-,-,373.9,KALLANG,1.3233,103.8629,BENDEMEER,CENTRAL
18440,2013,Mar,320014,-,254.1,357.5,499.0,KALLANG,1.3239,103.862,BENDEMEER,CENTRAL
18441,2013,Mar,320015,-,-,312.7,-,KALLANG,1.3242,103.8618,BENDEMEER,CENTRAL
18442,2013,Mar,320016,-,192.5,398.9,-,KALLANG,1.3243,103.8622,BENDEMEER,CENTRAL
18443,2013,Mar,320017,-,-,376.1,-,KALLANG,1.3239,103.8623,BENDEMEER,CENTRAL
18444,2013,Mar,320018,-,-,332.2,-,KALLANG,1.3242,103.8628,BENDEMEER,CENTRAL
18445,2013,Mar,320019,-,-,299.3,-,KALLANG,1.3245,103.8627,BENDEMEER,CENTRAL
18449,2013,Mar,320023,-,346.0,289.7,-,KALLANG,1.3249,103.863,BENDEMEER,CENTRAL
18483,2013,Mar,320109,-,-,419.4,358.9,KALLANG,1.3216,103.8589,BENDEMEER,CENTRAL
18484,2013,Mar,320110,-,-,-,531.2,KALLANG,1.3219,103.859,BENDEMEER,CENTRAL
18485,2013,Mar,320111,-,243.0,399.9,-,KALLANG,1.3214,103.8582,BENDEMEER,CENTRAL
18486,2013,Mar,320112,-,186.6,263.2,328.7,KALLANG,1.3212,103.8591,BENDEMEER,CENTRAL
18490,2013,Mar,320119,-,-,353.7,377.8,KALLANG,1.3198,103.8569,BENDEMEER,CENTRAL
18491,2013,Mar,320120,-,362.5,375.5,383.3,KALLANG,1.3193,103.8567,BENDEMEER,CENTRAL
18492,2013,Mar,320121,-,-,381.7,357.7,KALLANG,1.3187,103.8564,BENDEMEER,CENTRAL
18493,2013,Mar,320122,-,182.0,319.2,339.4,KALLANG,1.319,103.8572,BENDEMEER,CENTRAL
18494,2013,Mar,320123,-,258.2,417.7,-,KALLANG,1.3184,103.8567,BENDEMEER,CENTRAL
18495,2013,Mar,320124,-,292.2,358.7,-,KALLANG,1.3183,103.8561,BENDEMEER,CENTRAL
18496,2013,Mar,321004,-,-,378.8,395.6,KALLANG,1.3224,103.8602,BENDEMEER,CENTRAL
18501,2013,Mar,321020,-,223.0,297.8,513.8,KALLANG,1.3247,103.8631,BENDEMEER,CENTRAL
18502,2013,Mar,321021,-,-,-,326.0,KALLANG,1.3249,103.8622,BENDEMEER,CENTRAL
18503,2013,Mar,321022,-,-,-,426.5,KALLANG,1.3252,103.8623,BENDEMEER,CENTRAL
18508,2013,Mar,321105,-,262.5,345.9,-,KALLANG,1.3208,103.8611,BENDEMEER,CENTRAL
18510,2013,Mar,321107,-,244.4,351.1,-,KALLANG,1.3195,103.86,BENDEMEER,CENTRAL
18511,2013,Mar,321108,-,351.3,370.4,333.8,KALLANG,1.3214,103.8595,BENDEMEER,CENTRAL
18516,2013,Mar,322002,-,220.8,-,318.0,KALLANG,1.3224,103.8632,BENDEMEER,CENTRAL
18517,2013,Mar,322004,-,-,415.1,375.8,KALLANG,1.3224,103.8606,BENDEMEER,CENTRAL
18518,2013,Mar,322101,-,293.9,-,-,KALLANG,1.3195,103.861,BENDEMEER,CENTRAL
18519,2013,Mar,322102,-,263.1,-,-,KALLANG,1.3206,103.8619,BENDEMEER,CENTRAL
18520,2013,Mar,322103,-,-,305.5,344.8,KALLANG,1.3207,103.8615,BENDEMEER,CENTRAL
18521,2013,Mar,322104,-,-,335.5,375.6,KALLANG,1.3202,103.8584,BENDEMEER,CENTRAL
18522,2013,Mar,322106,-,-,354.6,426.3,KALLANG,1.3209,103.8611,BENDEMEER,CENTRAL
18525,2013,Mar,323108,-,-,361.8,411.6,KALLANG,1.32,103.8594,BENDEMEER,CENTRAL
18526,2013,Mar,324108,-,-,314.5,404.3,KALLANG,1.3201,103.8593,BENDEMEER,CENTRAL
18527,2013,Mar,330004,-,-,396.0,516.0,KALLANG,1.3159999999999998,103.8597,BENDEMEER,CENTRAL
18528,2013,Mar,330005,-,-,372.0,371.8,KALLANG,1.3163,103.8602,BENDEMEER,CENTRAL
18529,2013,Mar,330006,-,-,374.0,437.4,KALLANG,1.3169,103.8607,BENDEMEER,CENTRAL
18530,2013,Mar,330007,-,220.4,244.8,291.9,KALLANG,1.3167,103.862,BENDEMEER,CENTRAL
18531,2013,Mar,330008,-,237.7,250.1,309.1,KALLANG,1.3164,103.8618,BENDEMEER,CENTRAL
18532,2013,Mar,330009,-,190.2,233.0,331.3,KALLANG,1.3168,103.8604,BENDEMEER,CENTRAL
18533,2013,Mar,330026,-,213.5,243.9,-,KALLANG,1.3185,103.8633,BENDEMEER,CENTRAL
18534,2013,Mar,330028,-,222.2,-,-,KALLANG,1.3187,103.8633,BENDEMEER,CENTRAL
18535,2013,Mar,330031,116.0,-,-,-,KALLANG,1.3195,103.8638,BENDEMEER,CENTRAL
18536,2013,Mar,330032,114.7,-,-,-,KALLANG,1.3195,103.8638,BENDEMEER,CENTRAL
18537,2013,Mar,330033,128.3,-,-,-,KALLANG,1.3191,103.8634,BENDEMEER,CENTRAL
18538,2013,Mar,330034,-,242.9,-,617.9,KALLANG,1.3201,103.8625,BENDEMEER,CENTRAL
18539,2013,Mar,330045,-,274.6,-,528.0,KALLANG,1.3225,103.8661,BENDEMEER,CENTRAL
18540,2013,Mar,330046,-,-,-,483.7,KALLANG,1.3229,103.8663,BENDEMEER,CENTRAL
18541,2013,Mar,330048,-,-,-,502.7,KALLANG,1.3231,103.8664,BENDEMEER,CENTRAL
18542,2013,Mar,330049,-,-,303.0,-,KALLANG,1.3244,103.8666,BENDEMEER,CENTRAL
18565,2013,Mar,331038,-,-,278.2,317.3,KALLANG,1.3207,103.8659,BENDEMEER,CENTRAL
18566,2013,Mar,331039,-,180.1,299.8,-,KALLANG,1.3201,103.8663,BENDEMEER,CENTRAL
18568,2013,Mar,332038,-,199.8,290.3,-,KALLANG,1.321,103.8661,BENDEMEER,CENTRAL
18570,2013,Mar,333038,-,221.0,305.8,-,KALLANG,1.3214,103.8667,BENDEMEER,CENTRAL
18571,2013,Mar,334038,-,205.9,304.5,-,KALLANG,1.3216,103.8667,BENDEMEER,CENTRAL
27081,2013,Apr,320001,-,-,363.1,-,KALLANG,1.3233,103.8615,BENDEMEER,CENTRAL
27082,2013,Apr,320003,-,259.7,-,599.4,KALLANG,1.3228,103.8611,BENDEMEER,CENTRAL
27083,2013,Apr,320005,-,256.2,468.6,-,KALLANG,1.3233,103.8599,BENDEMEER,CENTRAL
27084,2013,Apr,320006,-,298.8,-,-,KALLANG,1.3234,103.859,BENDEMEER,CENTRAL
27085,2013,Apr,320007,-,254.8,-,-,KALLANG,1.3236,103.8592,BENDEMEER,CENTRAL
27086,2013,Apr,320008,-,240.4,-,-,KALLANG,1.3235,103.8598,BENDEMEER,CENTRAL
27087,2013,Apr,320009,-,-,344.9,-,KALLANG,1.3238,103.8629,BENDEMEER,CENTRAL
27088,2013,Apr,320010,-,-,412.6,-,KALLANG,1.3237,103.8633,BENDEMEER,CENTRAL
27089,2013,Apr,320011,-,-,383.2,-,KALLANG,1.3231,103.8632,BENDEMEER,CENTRAL
27090,2013,Apr,320012,-,-,424.4,-,KALLANG,1.3229,103.8629,BENDEMEER,CENTRAL
27091,2013,Apr,320013,-,-,-,436.9,KALLANG,1.3233,103.8629,BENDEMEER,CENTRAL
27092,2013,Apr,320014,-,286.7,453.0,464.3,KALLANG,1.3239,103.862,BENDEMEER,CENTRAL
27093,2013,Apr,320015,-,-,369.3,-,KALLANG,1.3242,103.8618,BENDEMEER,CENTRAL
27094,2013,Apr,320016,-,163.8,462.1,-,KALLANG,1.3243,103.8622,BENDEMEER,CENTRAL
27095,2013,Apr,320017,-,-,422.9,-,KALLANG,1.3239,103.8623,BENDEMEER,CENTRAL
27096,2013,Apr,320018,-,-,370.6,-,KALLANG,1.3242,103.8628,BENDEMEER,CENTRAL
27097,2013,Apr,320019,-,-,358.0,-,KALLANG,1.3245,103.8627,BENDEMEER,CENTRAL
27101,2013,Apr,320023,-,316.0,322.0,-,KALLANG,1.3249,103.863,BENDEMEER,CENTRAL
27145,2013,Apr,320109,-,-,462.0,391.1,KALLANG,1.3216,103.8589,BENDEMEER,CENTRAL
27146,2013,Apr,320110,-,-,-,541.7,KALLANG,1.3219,103.859,BENDEMEER,CENTRAL
27147,2013,Apr,320111,-,253.8,410.9,-,KALLANG,1.3214,103.8582,BENDEMEER,CENTRAL
27148,2013,Apr,320112,-,215.4,344.0,393.7,KALLANG,1.3212,103.8591,BENDEMEER,CENTRAL
27152,2013,Apr,320119,-,-,373.5,432.0,KALLANG,1.3198,103.8569,BENDEMEER,CENTRAL
27153,2013,Apr,320120,-,357.3,401.4,439.4,KALLANG,1.3193,103.8567,BENDEMEER,CENTRAL
27154,2013,Apr,320121,-,-,409.7,399.6,KALLANG,1.3187,103.8564,BENDEMEER,CENTRAL
27155,2013,Apr,320122,-,198.6,345.7,362.9,KALLANG,1.319,103.8572,BENDEMEER,CENTRAL
27156,2013,Apr,320123,-,273.2,424.3,-,KALLANG,1.3184,103.8567,BENDEMEER,CENTRAL
27157,2013,Apr,320124,-,307.0,375.5,-,KALLANG,1.3183,103.8561,BENDEMEER,CENTRAL
27158,2013,Apr,321004,-,-,418.6,426.1,KALLANG,1.3224,103.8602,BENDEMEER,CENTRAL
27163,2013,Apr,321020,-,267.6,289.1,400.0,KALLANG,1.3247,103.8631,BENDEMEER,CENTRAL
27164,2013,Apr,321021,-,-,-,404.7,KALLANG,1.3249,103.8622,BENDEMEER,CENTRAL
27165,2013,Apr,321022,-,-,-,406.4,KALLANG,1.3252,103.8623,BENDEMEER,CENTRAL
27170,2013,Apr,321105,-,282.0,357.9,-,KALLANG,1.3208,103.8611,BENDEMEER,CENTRAL
27172,2013,Apr,321107,-,257.4,375.5,-,KALLANG,1.3195,103.86,BENDEMEER,CENTRAL
27173,2013,Apr,321108,-,320.6,399.0,394.5,KALLANG,1.3214,103.8595,BENDEMEER,CENTRAL
27178,2013,Apr,322004,-,-,431.0,395.2,KALLANG,1.3224,103.8606,BENDEMEER,CENTRAL
27179,2013,Apr,322101,-,334.5,-,-,KALLANG,1.3195,103.861,BENDEMEER,CENTRAL
27180,2013,Apr,322102,-,356.2,-,-,KALLANG,1.3206,103.8619,BENDEMEER,CENTRAL
27181,2013,Apr,322103,-,-,344.3,413.6,KALLANG,1.3207,103.8615,BENDEMEER,CENTRAL
27182,2013,Apr,322104,-,-,391.8,445.8,KALLANG,1.3202,103.8584,BENDEMEER,CENTRAL
27183,2013,Apr,322106,-,-,373.8,466.8,KALLANG,1.3209,103.8611,BENDEMEER,CENTRAL
27186,2013,Apr,323108,-,-,392.0,453.1,KALLANG,1.32,103.8594,BENDEMEER,CENTRAL
27187,2013,Apr,324108,-,-,373.3,411.6,KALLANG,1.3201,103.8593,BENDEMEER,CENTRAL
27188,2013,Apr,330004,-,-,421.5,531.2,KALLANG,1.3159999999999998,103.8597,BENDEMEER,CENTRAL
27189,2013,Apr,330005,-,-,401.5,402.4,KALLANG,1.3163,103.8602,BENDEMEER,CENTRAL
27190,2013,Apr,330006,-,-,376.0,478.5,KALLANG,1.3169,103.8607,BENDEMEER,CENTRAL
27191,2013,Apr,330007,-,244.0,268.6,327.5,KALLANG,1.3167,103.862,BENDEMEER,CENTRAL
27192,2013,Apr,330008,-,252.9,282.4,344.5,KALLANG,1.3164,103.8618,BENDEMEER,CENTRAL
27193,2013,Apr,330009,-,225.3,264.9,373.0,KALLANG,1.3168,103.8604,BENDEMEER,CENTRAL
27194,2013,Apr,330026,-,242.9,286.5,-,KALLANG,1.3185,103.8633,BENDEMEER,CENTRAL
27195,2013,Apr,330028,-,254.9,-,-,KALLANG,1.3187,103.8633,BENDEMEER,CENTRAL
27196,2013,Apr,330031,128.1,-,-,-,KALLANG,1.3195,103.8638,BENDEMEER,CENTRAL
27197,2013,Apr,330032,129.2,-,-,-,KALLANG,1.3195,103.8638,BENDEMEER,CENTRAL
27198,2013,Apr,330033,134.4,-,-,-,KALLANG,1.3191,103.8634,BENDEMEER,CENTRAL
27199,2013,Apr,330034,-,274.2,-,683.1,KALLANG,1.3201,103.8625,BENDEMEER,CENTRAL
27200,2013,Apr,330045,-,304.8,-,542.5,KALLANG,1.3225,103.8661,BENDEMEER,CENTRAL
27201,2013,Apr,330046,-,-,-,563.3,KALLANG,1.3229,103.8663,BENDEMEER,CENTRAL
27202,2013,Apr,330048,-,-,-,557.3,KALLANG,1.3231,103.8664,BENDEMEER,CENTRAL
